Source,Target,Weight
DWAC,ADBE,217
PTON,ADBE,4792
ESE,ADBE,12
AMC,ADBE,3576
WKHS,ADBE,76
NOW,ADBE,3158
ABBV,ADBE,308
ES,ADBE,606
INTC,ADBE,3524
SNX,ADBE,49
WMT,ADBE,1906
DYNT,ADBE,7
KO,ADBE,1173
FDX,ADBE,796
IBIO,ADBE,21
BYND,ADBE,291
CLOV,ADBE,292
NVAX,ADBE,112
OSTK,ADBE,178
CSCO,ADBE,6308
EA,ADBE,1315
HD,ADBE,9014
SOLO,ADBE,10
PFE,ADBE,1161
CAT,ADBE,857
MO,ADBE,91
OCGN,ADBE,304
JNJ,ADBE,1368
BBBY,ADBE,150
MULN,ADBE,501
ROKU,ADBE,1020
MARK,ADBE,21
INO,ADBE,57
IBM,ADBE,3795
NKLA,ADBE,388
PENN,ADBE,90
PEP,ADBE,574
GEVO,ADBE,10
A,ADBE,256
F,ADBE,8491
JAGX,ADBE,4
LULU,ADBE,435
MRO,ADBE,25
NKE,ADBE,6243
AMGN,ADBE,207
CLF,ADBE,62
KSS,ADBE,33
MRK,ADBE,1051
W,ADBE,130
AAPL,ADBE,19383
SRNE,ADBE,15
BIOC,ADBE,4
LMND,ADBE,254
FCEL,ADBE,329
BNGO,ADBE,9
PHUN,ADBE,123
ORCL,ADBE,1843
DOW,ADBE,2764
LLY,ADBE,167
CRWD,ADBE,1129
U,ADBE,859
GMBL,ADBE,57
DVN,ADBE,67
TXN,ADBE,408
SNAP,ADBE,4338
T,ADBE,3093
XSPA,ADBE,19
WISH,ADBE,26
MSFT,ADBE,20838
DOCU,ADBE,1035
UPS,ADBE,220
DAL,ADBE,138
DKNG,ADBE,903
CVS,ADBE,4001
RIOT,ADBE,3725
HAL,ADBE,41
PLTR,ADBE,612
EBAY,ADBE,324
OXY,ADBE,851
NBY,ADBE,3
AVGO,ADBE,1712
TSLA,ADBE,20431
UNH,ADBE,2662
UAL,ADBE,152
ZM,ADBE,1304
OGN,ADBE,27
CRM,ADBE,10377
SQ,ADBE,6026
LYFT,ADBE,283
GOOGL,ADBE,16991
UAVS,ADBE,515
BAC,ADBE,4884
GILD,ADBE,146
